f_Hz,ReZ_ohm,ImZ_ohm
5.000000000000000000e+07,1.743749509013939436e+00,-4.200566010944750239e+00
5.097500000000000000e+07,1.692595955337423463e+00,-4.143794149887413347e+00
5.195000000000000000e+07,1.642198361747150059e+00,-4.089396644901237998e+00
5.292500000000000000e+07,1.592210539806804714e+00,-4.036890878915289527e+00
5.390000000000000000e+07,1.542411232696965229e+00,-3.985759221621040904e+00
5.487500000000000000e+07,1.492707750519463028e+00,-3.935477587048645809e+00
5.585000000000000000e+07,1.443132812240613960e+00,-3.885544118559404403e+00
5.682500000000000000e+07,1.393834766315175555e+00,-3.835506329641142020e+00
5.780000000000000000e+07,1.345061783497932595e+00,-3.784985136053279131e+00
5.877500000000000000e+07,1.297140986796264661e+00,-3.733694431403457248e+00
5.975000000000000000e+07,1.250453775819035052e+00,-3.681455161827194011e+00
6.072500000000000000e+07,1.205408796930384385e+00,-3.628203216163560896e+00
6.170000000000000000e+07,1.162414099373276555e+00,-3.573990833006109646e+00
6.267500000000000000e+07,1.121850004909414666e+00,-3.518981604138508690e+00
6.365000000000000000e+07,1.084044117517755978e+00,-3.463439499558687462e+00
6.462500000000000000e+07,1.049249728806652682e+00,-3.407712634785198258e+00
6.560000000000000000e+07,1.017628654280722245e+00,-3.352212736970233031e+00
6.657500000000000000e+07,9.892392841893067335e-01,-3.297391440290091236e+00
6.755000000000000000e+07,9.640303653471544720e-01,-3.243714655938759961e+00
6.852500000000000000e+07,9.418407574213292222e-01,-3.191636322935710091e+00
6.950000000000000000e+07,9.224051349283192147e-01,-3.141572857794778351e+00
7.047500000000000000e+07,9.053653381461805871e-01,-3.093879586779437751e+00
7.145000000000000000e+07,8.902868153509860827e-01,-3.048830364085847844e+00
7.242500000000000000e+07,8.766793498978781018e-01,-3.006601450562312206e+00
7.340000000000000000e+07,8.640210366531214659e-01,-2.967260547319281017e+00
7.437500000000000000e+07,8.517842751523706513e-01,-2.930761645001913163e+00
7.535000000000000000e+07,8.394623971620603919e-01,-2.896946064662257569e+00
7.632500000000000000e+07,8.265954613706164578e-01,-2.865549738208264419e+00
7.730000000000000000e+07,8.127937439823985644e-01,-2.836216420739434696e+00
7.827500000000000000e+07,7.977575428214118691e-01,-2.808516166237921219e+00
7.925000000000000000e+07,7.812920982688886795e-01,-2.781968059937275584e+00
8.022500000000000000e+07,7.633167110303687997e-01,-2.756065915190155646e+00
8.120000000000000000e+07,7.438674876478129638e-01,-2.730305437642149613e+00
8.217500000000000000e+07,7.230935435182145321e-01,-2.704211256380513184e+00
8.315000000000000000e+07,7.012469070259961246e-01,-2.677362231839982343e+00
8.412500000000000000e+07,6.786667620502093712e-01,-2.649413572975358733e+00
8.510000000000000000e+07,6.557590069336529659e-01,-2.620114518934740566e+00
8.607500000000000000e+07,6.329723702450594791e-01,-2.589320640649338312e+00
8.705000000000000000e+07,6.107724914392602678e-01,-2.557000166557750642e+00
8.802500000000000000e+07,5.896154429269170327e-01,-2.523234103354897950e+00
8.900000000000000000e+07,5.699221443993260916e-01,-2.488210278771416650e+00
8.997500000000000000e+07,5.520550136268196351e-01,-2.452211756121386532e+00
9.095000000000000000e+07,5.362980280041504955e-01,-2.415600344282897716e+00
9.192500000000000000e+07,5.228411565919892645e-01,-2.378796144070527863e+00
9.290000000000000000e+07,5.117698802564242255e-01,-2.342254231179333512e+00
9.387500000000000000e+07,5.030602610719139278e-01,-2.306439679826102207e+00
9.485000000000000000e+07,4.965797605558461281e-01,-2.271802184442596850e+00
9.582500000000000000e+07,4.920937450767142174e-01,-2.238751543363691532e+00
9.680000000000000000e+07,4.892773593724961123e-01,-2.207635230470428755e+00
9.777500000000000000e+07,4.877321988797541086e-01,-2.178719197741198599e+00
9.875000000000000000e+07,4.870069736974937391e-01,-2.152172921231795044e+00
9.972500000000000000e+07,4.866211399361420331e-01,-2.128059522329585729e+00
1.007000000000000000e+08,4.860902901129062204e-01,-2.106331564139669155e+00
1.016750000000000000e+08,4.849519583870273709e-01,-2.086832842553909106e+00
1.026500000000000000e+08,4.827904252299535792e-01,-2.069306171882657974e+00
1.036250000000000000e+08,4.792591144857943353e-01,-2.053406821756272205e+00
1.046000000000000000e+08,4.740992738483156832e-01,-2.038720917690759027e+00
1.055750000000000000e+08,4.671538200442443278e-01,-2.024787799211576367e+00
1.065500000000000000e+08,4.583755053102114285e-01,-2.011125065074072626e+00
1.075250000000000000e+08,4.478289048378157333e-01,-1.997254850628973788e+00
1.085000000000000000e+08,4.356861097634078805e-01,-1.982729796869717953e+00
1.094750000000000000e+08,4.222164053137711925e-01,-1.967157193507979906e+00
1.104500000000000000e+08,4.077705856599053713e-01,-1.950219907503192296e+00
1.114250000000000000e+08,3.927608755978708732e-01,-1.931692930659099749e+00
1.124000000000000000e+08,3.776376709535301801e-01,-1.911454673055118292e+00
1.133750000000000000e+08,3.628644606432205877e-01,-1.889492465587876202e+00
1.143500000000000000e+08,3.488923499663201810e-01,-1.865902085784112208e+00
1.153250000000000000e+08,3.361355726916621101e-01,-1.840881459854261326e+00
1.163000000000000000e+08,3.249492716196374364e-01,-1.814718999677114697e+00
1.172750000000000000e+08,3.156106603075322647e-01,-1.787777292006508478e+00
1.182500000000000000e+08,3.083044700874226773e-01,-1.760473061661783634e+00
1.192250000000000000e+08,3.031133521368095107e-01,-1.733254479598201447e+00
1.202000000000000000e+08,3.000136565343750061e-01,-1.706576983121125934e+00
1.211750000000000000e+08,2.988767574636398971e-01,-1.680878823161233493e+00
1.221500000000000000e+08,2.994758413431028998e-01,-1.656557555987429042e+00
1.231250000000000000e+08,3.014978262518395180e-01,-1.633948655665163230e+00
1.241000000000000000e+08,3.045598402686827688e-01,-1.613307338408285441e+00
1.250750000000000000e+08,3.082294587808729891e-01,-1.594794558564891052e+00
1.260500000000000000e+08,3.120476950315120290e-01,-1.578467956060188859e+00
1.270250000000000000e+08,3.155535661318201179e-01,-1.564278306358183990e+00
1.280000000000000000e+08,3.183089330460802113e-01,-1.552071750102139047e+00
1.289750000000000000e+08,3.199222530341708781e-01,-1.541597769960242115e+00
1.299500000000000000e+08,3.200699002341713117e-01,-1.532522552685819051e+00
1.309250000000000000e+08,3.185138132172322667e-01,-1.524447046742883005e+00
1.319000000000000000e+08,3.151144187436394350e-01,-1.516928725760727792e+00
1.328750000000000000e+08,3.098380507604714951e-01,-1.509505822161390620e+00
1.338500000000000000e+08,3.027584157083509364e-01,-1.501722627290152934e+00
1.348250000000000000e+08,2.940520243090357089e-01,-1.493154381489744997e+00
1.358000000000000000e+08,2.839878860419381423e-01,-1.483430307666936177e+00
1.367750000000000000e+08,2.729121142619331253e-01,-1.472253472177744493e+00
1.377500000000000000e+08,2.612283892124166451e-01,-1.459416374189252297e+00
1.387250000000000000e+08,2.493754515358999613e-01,-1.444811447759631884e+00
1.397000000000000000e+08,2.378029377070117190e-01,-1.428435983535967013e+00
1.406750000000000000e+08,2.269469181484780052e-01,-1.410391311978699047e+00
1.416500000000000000e+08,2.172064643430464126e-01,-1.390876412664970418e+00
1.426250000000000000e+08,2.089224651875900007e-01,-1.370176404939404513e+00
1.436000000000000000e+08,2.023597508936234302e-01,-1.348646620909159433e+00
1.445750000000000000e+08,1.976933813400044149e-01,-1.326693155945542157e+00
1.455500000000000000e+08,1.949997296654501222e-01,-1.304750933204499308e+00
1.465250000000000000e+08,1.942527526752209077e-01,-1.283260409402780855e+00
1.475000000000000000e+08,1.953255954841692510e-01,-1.262644092719457989e+00
1.484750000000000000e+08,1.979974340455882831e-01,-1.243284043295273644e+00
1.494500000000000000e+08,2.019652196490400453e-01,-1.225501483797959645e+00
1.504250000000000000e+08,2.068597581210354364e-01,-1.209539561415942321e+00
1.514000000000000000e+08,2.122653390892597636e-01,-1.195550171656433402e+00
1.523750000000000000e+08,2.177419358272671412e-01,-1.183585576804488948e+00
1.533500000000000000e+08,2.228488354367444135e-01,-1.173595328192147180e+00
1.543250000000000000e+08,2.271684462110394875e-01,-1.165428735780380309e+00
1.553000000000000000e+08,2.303289781697687166e-01,-1.158842830583419303e+00
1.562750000000000000e+08,2.320247161647129297e-01,-1.153515450708190171e+00
1.572500000000000000e+08,2.320327101224282373e-01,-1.149062771096471591e+00
1.582250000000000000e+08,2.302248943129124314e-01,-1.145060314732638584e+00
1.592000000000000000e+08,2.265749088788865384e-01,-1.141066253925672846e+00
1.601750000000000000e+08,2.211592154465644722e-01,-1.136645656156423989e+00
1.611500000000000000e+08,2.141524504705355492e-01,-1.131394265480260453e+00
1.621250000000000000e+08,2.058173166168151269e-01,-1.124960444358661382e+00
1.631000000000000000e+08,1.964896447568564852e-01,-1.117064028860377700e+00
1.640750000000000000e+08,1.865595408726921089e-01,-1.107511059728256253e+00
1.650500000000000000e+08,1.764497434869248260e-01,-1.096203622660445687e+00
1.660250000000000000e+08,1.665924466055180020e-01,-1.083144338709200794e+00
1.670000000000000000e+08,1.574058879834155933e-01,-1.068435364478949046e+00
1.679750000000000000e+08,1.492719681822591293e-01,-1.052272068706644470e+00
1.689500000000000000e+08,1.425160637319664858e-01,-1.034931828511776120e+00
1.699250000000000000e+08,1.373900423883130939e-01,-1.016758622789512678e+00
1.709000000000000000e+08,1.340592953027091305e-01,-9.981442855333026998e-01
1.718750000000000000e+08,1.325943836994946945e-01,-9.795074168577364571e-01
1.728500000000000000e+08,1.329676674125818137e-01,-9.612710358747064143e-01
1.738250000000000000e+08,1.350550472849950390e-01,-9.438401003633215547e-01
1.748000000000000000e+08,1.386427183764248061e-01,-9.275800160160122543e-01
1.757750000000000000e+08,1.434386002517710479e-01,-9.127972141999400879e-01
1.767500000000000000e+08,1.490878886441085460e-01,-8.997227912914220749e-01
1.777250000000000000e+08,1.551919654062660359e-01,-8.885000733639121240e-01
1.787000000000000000e+08,1.613297192972753258e-01,-8.791767962795052904e-01
1.796750000000000000e+08,1.670801798312775699e-01,-8.717023739932194815e-01
1.806500000000000000e+08,1.720452630221014079e-01,-8.659304717828195663e-01
1.816250000000000000e+08,1.758713844459936781e-01,-8.616268157996818111e-01
1.826000000000000000e+08,1.782687225853923085e-01,-8.584818708525386866e-01
1.835750000000000000e+08,1.790270203265481030e-01,-8.561277245057830054e-01
1.845500000000000000e+08,1.780269945066740023e-01,-8.541582501892590606e-01
1.855250000000000000e+08,1.752466743546537975e-01,-8.521514081251221340e-01
1.865000000000000000e+08,1.707622934159044592e-01,-8.496924006026800313e-01
1.874750000000000000e+08,1.647436934127127495e-01,-8.463963416311673926e-01
1.884500000000000000e+08,1.574445358297407727e-01,-8.419291362010236091e-01
1.894250000000000000e+08,1.491879306106411451e-01,-8.360253879820824796e-01
1.904000000000000000e+08,1.403483569023962207e-01,-8.285023542308002087e-01
1.913750000000000000e+08,1.313309498499719841e-01,-8.192692240374171986e-01
1.923500000000000000e+08,1.225493493166405073e-01,-8.083312878527415535e-01
1.933250000000000000e+08,1.144033486068176675e-01,-7.957888687243506176e-01
1.943000000000000000e+08,1.072575487102600672e-01,-7.818311772479575872e-01
1.952750000000000000e+08,1.014221267031037155e-01,-7.667255156804839711e-01
1.962500000000000000e+08,9.713667927212919773e-02,-7.508024802362051053e-01
1.972250000000000000e+08,9.455791810010830134e-02,-7.344379880433006269e-01
1.982000000000000000e+08,9.375178601392697431e-02,-7.180330848388614129e-01
1.991750000000000000e+08,9.469034184725852454e-02,-7.019925724632839481e-01
2.001500000000000000e+08,9.725353564391656103e-02,-6.867035340751500572e-01
2.011250000000000000e+08,1.012357696212052988e-01,-6.725148320235578847e-01
2.021000000000000000e+08,1.063569185754278668e-01,-6.597186096288458756e-01
2.030750000000000000e+08,1.122772706922619268e-01,-6.485347435490836920e-01
2.040500000000000000e+08,1.186156520046744711e-01,-6.390990670024181419e-01
2.050250000000000000e+08,1.249698232110868640e-01,-6.314560153522629227e-01
2.060000000000000000e+08,1.309380966940300317e-01,-6.255561358814776263e-01
2.069750000000000000e+08,1.361410263472108140e-01,-6.212586579033567702e-01
2.079500000000000000e+08,1.402419851868650646e-01,-6.183390471919397724e-01
2.089250000000000000e+08,1.429654755469945138e-01,-6.165011845007438707e-01
2.099000000000000000e+08,1.441121194607918321e-01,-6.153935303870545770e-01
2.108750000000000000e+08,1.435694519034820538e-01,-6.146283889630863584e-01
2.118500000000000000e+08,1.413178788781366546e-01,-6.138031829291271668e-01
2.128250000000000000e+08,1.374314505489559468e-01,-6.125225198477716182e-01
2.138000000000000000e+08,1.320734154765672574e-01,-6.104197780435337561e-01
2.147750000000000000e+08,1.254868406317218021e-01,-6.071769750750980466e-01
2.157500000000000000e+08,1.179808779266373064e-01,-6.025417992266739464e-01
2.167250000000000000e+08,1.099135088961062795e-01,-5.963408736403441601e-01
2.177000000000000000e+08,1.016717876817180982e-01,-5.884885659610197273e-01
2.186750000000000000e+08,9.365071853756384845e-02,-5.789909323446456035e-01
2.196500000000000000e+08,8.623194518073840076e-02,-5.679446712490480165e-01
2.206250000000000000e+08,7.976339978643541551e-02,-5.555312393763323087e-01
2.216000000000000000e+08,7.454096875364399355e-02,-5.420065332086267951e-01
2.225750000000000000e+08,7.079309298144757789e-02,-5.276867535188931591e-01
2.235500000000000000e+08,6.866904549275253122e-02,-5.129312408059850670e-01
