f_Hz,ReZ0_ohm,ImZ0_ohm
2.000000000000000000e+08,4.869609959382925268e+01,-1.098259555716291636e-01
2.020000000000000000e+08,4.869567389812488045e+01,-1.108473872048274939e-01
2.040000000000000000e+08,4.869524442524536312e+01,-1.118665977283026525e-01
2.060000000000000000e+08,4.869481118751652815e+01,-1.128835684324578092e-01
2.080000000000000000e+08,4.869437419733277750e+01,-1.138982806868480552e-01
2.100000000000000000e+08,4.869393346715592941e+01,-1.149107159401119432e-01
2.120000000000000000e+08,4.869348900951451498e+01,-1.159208557201852896e-01
2.140000000000000000e+08,4.869304083700274788e+01,-1.169286816342436641e-01
2.160000000000000000e+08,4.869258896227963618e+01,-1.179341753688712136e-01
2.180000000000000000e+08,4.869213339806812257e+01,-1.189373186899740087e-01
2.200000000000000000e+08,4.869167415715413938e+01,-1.199380934430143708e-01
2.220000000000000000e+08,4.869121125238583403e+01,-1.209364815528159443e-01
2.240000000000000000e+08,4.869074469667262406e+01,-1.219324650237590124e-01
2.260000000000000000e+08,4.869027450298448656e+01,-1.229260259396895705e-01
2.280000000000000000e+08,4.868980068435095632e+01,-1.239171464640128756e-01
2.300000000000000000e+08,4.868932325386044369e+01,-1.249058088396020061e-01
2.320000000000000000e+08,4.868884222465941036e+01,-1.258919953888526788e-01
2.340000000000000000e+08,4.868835760995151674e+01,-1.268756885136742285e-01
2.360000000000000000e+08,4.868786942299693976e+01,-1.278568706953743528e-01
2.380000000000000000e+08,4.868737767711153452e+01,-1.288355244947145539e-01
2.400000000000000000e+08,4.868688238566608817e+01,-1.298116325518872127e-01
2.420000000000000000e+08,4.868638356208568752e+01,-1.307851775863853316e-01
2.440000000000000000e+08,4.868588121984880956e+01,-1.317561423970428358e-01
2.460000000000000000e+08,4.868537537248674596e+01,-1.327245098618954067e-01
2.480000000000000000e+08,4.868486603358292086e+01,-1.336902629382054619e-01
2.500000000000000000e+08,4.868435321677215200e+01,-1.346533846623111097e-01
2.520000000000000000e+08,4.868383693573994009e+01,-1.356138581496167395e-01
2.540000000000000000e+08,4.868331720422182940e+01,-1.365716665945193586e-01
2.560000000000000000e+08,4.868279403600287480e+01,-1.375267932702381457e-01
2.580000000000000000e+08,4.868226744491681046e+01,-1.384792215288664641e-01
2.600000000000000000e+08,4.868173744484564480e+01,-1.394289348011616969e-01
2.620000000000000000e+08,4.868120404971891446e+01,-1.403759165964695854e-01
2.640000000000000000e+08,4.868066727351303769e+01,-1.413201505027149030e-01
2.660000000000000000e+08,4.868012713025093774e+01,-1.422616201862243468e-01
2.680000000000000000e+08,4.867958363400126842e+01,-1.432003093915726888e-01
2.700000000000000000e+08,4.867903679887797352e+01,-1.441362019416048967e-01
2.720000000000000000e+08,4.867848663903967577e+01,-1.450692817371976584e-01
2.740000000000000000e+08,4.867793316868921494e+01,-1.459995327572130297e-01
2.760000000000000000e+08,4.867737640207301553e+01,-1.469269390584190815e-01
2.780000000000000000e+08,4.867681635348076696e+01,-1.478514847751925820e-01
2.800000000000000000e+08,4.867625303724469177e+01,-1.487731541196568585e-01
2.820000000000000000e+08,4.867568646773926133e+01,-1.496919313813094288e-01
2.840000000000000000e+08,4.867511665938059195e+01,-1.506078009270570284e-01
2.860000000000000000e+08,4.867454362662603273e+01,-1.515207472010346446e-01
2.880000000000000000e+08,4.867396738397381739e+01,-1.524307547244522221e-01
2.900000000000000000e+08,4.867338794596236795e+01,-1.533378080955394018e-01
2.920000000000000000e+08,4.867280532717016683e+01,-1.542418919892249440e-01
2.940000000000000000e+08,4.867221954221508895e+01,-1.551429911573203035e-01
2.960000000000000000e+08,4.867163060575423117e+01,-1.560410904280225830e-01
2.980000000000000000e+08,4.867103853248327994e+01,-1.569361747061274182e-01
3.000000000000000000e+08,4.867044333713636206e+01,-1.578282289725541077e-01
3.020000000000000000e+08,4.866984503448544075e+01,-1.587172382845197793e-01
3.040000000000000000e+08,4.866924363934020192e+01,-1.596031877751512285e-01
3.060000000000000000e+08,4.866863916654749289e+01,-1.604860626535592472e-01
3.080000000000000000e+08,4.866803163099105944e+01,-1.613658482044804943e-01
3.100000000000000000e+08,4.866742104759126875e+01,-1.622425297884418638e-01
3.120000000000000000e+08,4.866680743130471143e+01,-1.631160928412281330e-01
3.140000000000000000e+08,4.866619079712388896e+01,-1.639865228740994274e-01
3.160000000000000000e+08,4.866557116007706441e+01,-1.648538054734894620e-01
3.180000000000000000e+08,4.866494853522768693e+01,-1.657179263009248560e-01
3.200000000000000000e+08,4.866432293767438466e+01,-1.665788710928015615e-01
3.220000000000000000e+08,4.866369438255052415e+01,-1.674366256604486458e-01
3.240000000000000000e+08,4.866306288502406119e+01,-1.682911758897157328e-01
3.260000000000000000e+08,4.866242846029714286e+01,-1.691425077411086442e-01
3.280000000000000000e+08,4.866179112360600811e+01,-1.699906072495279141e-01
