f_Hz,ReZ_ohm,ImZ_ohm
3.000000000000000000e+07,2.959055506030517702e+00,-5.675074721651972354e+00
3.073500000000000000e+07,2.838430707735997149e+00,-5.592971942130033902e+00
3.147000000000000000e+07,2.723688499745848368e+00,-5.507632484919888327e+00
3.220500000000000000e+07,2.616299785469878625e+00,-5.419371269506761735e+00
3.294000000000000000e+07,2.517565237482255025e+00,-5.329305620660852227e+00
3.367500000000000000e+07,2.428233375760718626e+00,-5.239199271059914231e+00
3.441000000000000000e+07,2.348236600464641111e+00,-5.151135709844693267e+00
3.514500000000000000e+07,2.276614460435117060e+00,-5.067099538759662458e+00
3.588000000000000000e+07,2.211646239376048761e+00,-4.988567856742993634e+00
3.661500000000000000e+07,2.151162846169841991e+00,-4.916211585914767923e+00
3.735000000000000000e+07,2.092963210334643609e+00,-4.849779883679867787e+00
3.808500000000000000e+07,2.035233796955909114e+00,-4.788195304093131099e+00
3.882000000000000000e+07,1.976868976748112239e+00,-4.729833951410774340e+00
3.955500000000000000e+07,1.917616276888661986e+00,-4.672917573089650389e+00
4.029000000000000000e+07,1.858017534017391226e+00,-4.615917044139520975e+00
4.102500000000000000e+07,1.799171197553184331e+00,-4.557867360466364204e+00
4.176000000000000000e+07,1.742386313090778405e+00,-4.498522506688424905e+00
4.249500000000000000e+07,1.688822107256796379e+00,-4.438324894993649572e+00
4.323000000000000000e+07,1.639203366453563682e+00,-4.378213898054138298e+00
4.396500000000000000e+07,1.593674374095146673e+00,-4.319337112486618224e+00
4.470000000000000000e+07,1.551812740669418877e+00,-4.262746902517233316e+00
4.543500000000000000e+07,1.512781202994502028e+00,-4.209160507410081742e+00
4.617000000000000000e+07,1.475561648382844426e+00,-4.158837670462067315e+00
4.690500000000000000e+07,1.439199272443116184e+00,-4.111593079809106932e+00
4.764000000000000000e+07,1.402989235871198614e+00,-4.066922290711864285e+00
4.837500000000000000e+07,1.366561275998471325e+00,-4.024189920654970720e+00
4.911000000000000000e+07,1.329852078048167074e+00,-3.982815969996365446e+00
4.984500000000000000e+07,1.292990137212402635e+00,-3.942403242836678423e+00
5.058000000000000000e+07,1.256142662506775087e+00,-3.902772888498228454e+00
5.131500000000000000e+07,1.219381637405554830e+00,-3.863907680292546054e+00
5.205000000000000000e+07,1.182615100471561043e+00,-3.825833113869374635e+00
5.278500000000000000e+07,1.145604582109331027e+00,-3.788485329099722687e+00
5.352000000000000000e+07,1.108059049704190668e+00,-3.751616924976599599e+00
5.425500000000000000e+07,1.069769520020007469e+00,-3.714777042569474830e+00
5.499000000000000000e+07,1.030734837449217123e+00,-3.677375838803329522e+00
5.572500000000000000e+07,9.912320819468747324e-01,-3.638814321312419331e+00
5.646000000000000000e+07,9.518034606925881436e-01,-3.598637948421759880e+00
5.719500000000000000e+07,9.131591684933286768e-01,-3.556663726532844017e+00
5.793000000000000000e+07,8.760233979610182464e-01,-3.513038439121595857e+00
5.866500000000000000e+07,8.409693986523371079e-01,-3.468207272671029795e+00
5.940000000000000000e+07,8.082933804390196597e-01,-3.422800204210128427e+00
6.013500000000000000e+07,7.779652666199948774e-01,-3.377469030755934742e+00
6.087000000000000000e+07,7.496708854215399231e-01,-3.332723008827586764e+00
6.160500000000000000e+07,7.229325427798836134e-01,-3.288811373307866770e+00
6.234000000000000000e+07,6.972714508259302280e-01,-3.245686673716889903e+00
6.307500000000000000e+07,6.723632295921510016e-01,-3.203058356225576553e+00
6.381000000000000000e+07,6.481403412933077757e-01,-3.160518814782768970e+00
6.454500000000000000e+07,6.248120202078253360e-01,-3.117702619553622156e+00
6.528000000000000000e+07,6.027977410720927187e-01,-3.074430497064265744e+00
6.601500000000000000e+07,5.825963762128469892e-01,-3.030795602537551314e+00
6.675000000000000000e+07,5.646316537856072015e-01,-2.987168436419436190e+00
6.748500000000000000e+07,5.491198077404375599e-01,-2.944122018190404866e+00
6.822000000000000000e+07,5.359963765359488930e-01,-2.902302448768892429e+00
6.895500000000000000e+07,5.249194926516564941e-01,-2.862284598349466247e+00
6.969000000000000000e+07,5.153433226495793829e-01,-2.824454386264030337e+00
7.042500000000000000e+07,5.066350246203745744e-01,-2.788948159712371755e+00
7.116000000000000000e+07,4.981977506559046587e-01,-2.755660043415014027e+00
7.189500000000000000e+07,4.895637941571827634e-01,-2.724306348287593327e+00
7.263000000000000000e+07,4.804349596080723095e-01,-2.694519247571525611e+00
7.336500000000000000e+07,4.706669223597909624e-01,-2.665935313727110678e+00
7.410000000000000000e+07,4.602138610739336944e-01,-2.638250012680690926e+00
7.483500000000000000e+07,4.490622603527861800e-01,-2.611224533647968915e+00
7.557000000000000000e+07,4.371843108487228347e-01,-2.584650683326838116e+00
7.630500000000000000e+07,4.245315876457609328e-01,-2.558295986533356992e+00
7.704000000000000000e+07,4.110724412454854759e-01,-2.531858805915343069e+00
7.777500000000000000e+07,3.968581167811262578e-01,-2.504959598713305535e+00
7.851000000000000000e+07,3.820896821039977964e-01,-2.477180758119370996e+00
7.924500000000000000e+07,3.671551021044555108e-01,-2.448148725193102226e+00
7.998000000000000000e+07,3.526143779638936659e-01,-2.417634908932103865e+00
8.071500000000000000e+07,3.391276961706463644e-01,-2.385642609369046152e+00
8.145000000000000000e+07,3.273410910066577584e-01,-2.352449063102868276e+00
8.218500000000000000e+07,3.177593933227231271e-01,-2.318584393081070782e+00
8.292000000000000000e+07,3.106419486542760233e-01,-2.284748357993224399e+00
