f_Hz,ReZ11,ImZ11,ReZ21,ImZ21,ReZ22,ImZ22,ReZ12,ImZ12
3.000000000000000000e+07,3.871250894018493316e+00,-5.806340157459840334e+00,3.837234310080528843e+00,-5.890002840642337034e+00,3.853255353992865562e+00,-5.803593872812204957e+00,3.836314055708903936e+00,-5.886301406782546763e+00
3.073500000000000000e+07,3.738052639665337296e+00,-5.751923400323117441e+00,3.707414078131006985e+00,-5.830479820008481084e+00,3.722947528195241329e+00,-5.745560411340885132e+00,3.707360744551247311e+00,-5.826729735154634326e+00
3.147000000000000000e+07,3.609296018972105724e+00,-5.695592104561886693e+00,3.583650416023507645e+00,-5.770050308318231735e+00,3.597864674809598373e+00,-5.686408589164128280e+00,3.584434789159996360e+00,-5.766458462876522972e+00
3.220500000000000000e+07,3.485029470245408767e+00,-5.637339524014481462e+00,3.465709364709894214e+00,-5.709050674348920218e+00,3.477845240867170507e+00,-5.626285389692971428e+00,3.467255072862315490e+00,-5.705806444321010140e+00
3.294000000000000000e+07,3.365348114876542063e+00,-5.577211440103868156e+00,3.353333009744837945e+00,-5.647794005833437936e+00,3.362746202910333881e+00,-5.565336884207925827e+00,3.355523141000440024e+00,-5.645059228508954696e+00
3.367500000000000000e+07,3.250375636580343564e+00,-5.515314455653569148e+00,3.246241080413397651e+00,-5.586564470027916229e+00,3.252438146642774974e+00,-5.503711934298469721e+00,3.248926720725476169e+00,-5.584465504501664235e+00
3.441000000000000000e+07,3.140245309709304600e+00,-5.451819699335882952e+00,3.144134263369666282e+00,-5.525612092856537316e+00,3.146800064334513536e+00,-5.441564482850620443e+00,3.147144370437915395e+00,-5.524234267970744128e+00
3.514500000000000000e+07,3.035081218145647242e+00,-5.386961967560905507e+00,3.046699025314560050e+00,-5.465148392497411578e+00,3.045714165354950875e+00,-5.379054461563290701e+00,3.049851028845987244e+00,-5.464532996987940372e+00
3.588000000000000000e+07,2.934980653009473528e+00,-5.321034556201387211e+00,2.953613646399041226e+00,-5.405343224796431478e+00,2.949060978661677712e+00,-5.316347399238519955e+00,2.956724173276286116e+00,-5.405487054741041852e+00
3.661500000000000000e+07,2.839998577699904825e+00,-5.254380235542989830e+00,2.864555098270122890e+00,-5.346323103533666021e+00,2.856714998828882024e+00,-5.253612866753123889e+00,2.867450255672527426e+00,-5.347180455855857772e+00
3.735000000000000000e+07,2.750134912177252033e+00,-5.187378990088901354e+00,2.779206359325768094e+00,-5.288171155544822533e+00,2.768541090398159099e+00,-5.191021939589178125e+00,2.781731064188257108e+00,-5.289658046032585048e+00
3.808500000000000000e+07,2.665325225015040544e+00,-5.120433275653901717e+00,2.697263744248048933e+00,-5.230928765618957144e+00,2.684391820515982463e+00,-5.128743895277886544e+00,2.699289658856322216e+00,-5.232929056648854882e+00
3.882000000000000000e+07,2.585435241096190939e+00,-5.053951637803385744e+00,2.618443833301094426e+00,-5.174598864507488294e+00,2.604105838850244492e+00,-5.066942389648115608e+00,2.619875550880856441e+00,-5.176971911592228359e+00
3.955500000000000000e+07,2.510259383053926374e+00,-4.988331588400529704e+00,2.542489616459932655e+00,-5.119150719649286252e+00,2.527507368764768891e+00,-5.005771371317098151e+00,2.543268835035899400e+00,-5.121740087292094401e+00
4.029000000000000000e+07,2.439523372293558534e+00,-4.923942652132646813e+00,2.469175515108172458e+00,-5.064526005603758207e+00,2.454406816959328275e+00,-4.945370997797022383e+00,2.469283040973532906e+00,-5.067168762654084446e+00
4.102500000000000000e+07,2.372890726053979993e+00,-4.861110473915079666e+00,2.398311006741990159e+00,-5.010645862107222293e+00,2.384602452631148228e+00,-4.885863808752627158e+00,2.397766538689462656e+00,-5.013181946629019947e+00
