f_Hz,ReZ11,ImZ11,ReZ21,ImZ21,ReZ12,ImZ12,ReZ22,ImZ22
3.000000000000000000e+07,3.920550145785574259e+00,-5.894639537740032686e+00,3.919128758493173326e+00,-6.038267468282218609e+00,3.921572595358903346e+00,-6.039675049654005257e+00,3.922810064117521200e+00,-5.884201540535857866e+00
3.073500000000000000e+07,3.788935768431163087e+00,-5.832801374088061763e+00,3.787512907566882525e+00,-5.979976322463465443e+00,3.789903074531387528e+00,-5.981426696126030507e+00,3.791144061400495424e+00,-5.822103033529764105e+00
3.147000000000000000e+07,3.662994986889724025e+00,-5.770199381002123040e+00,3.661567164984441014e+00,-5.920926892785566054e+00,3.663904369298495389e+00,-5.922416126851331342e+00,3.665152347993299475e+00,-5.759236064256761267e+00
3.220500000000000000e+07,3.542467819306211130e+00,-5.707044930143509553e+00,3.541029989937384936e+00,-5.861327753680898311e+00,3.543315248435050080e+00,-5.862852685599183822e+00,3.544575557694936929e+00,-5.695812631478030852e+00
3.294000000000000000e+07,3.427102619786538629e+00,-5.643525175932917470e+00,3.425650383982167035e+00,-5.801362968578592572e+00,3.427884613063140851e+00,-5.802921133531839359e+00,3.429162218179317545e+00,-5.632020706215988604e+00
3.367500000000000000e+07,3.316656728121875286e+00,-5.579805120946444319e+00,3.315188172768055885e+00,-5.741195673099233510e+00,3.317371927852924340e+00,-5.742785005122565956e+00,3.318669380378779898e+00,-5.568025967971072632e+00
3.441000000000000000e+07,3.210897098996371657e+00,-5.516029707539929383e+00,3.209413358960969909e+00,-5.680971055300372718e+00,3.211546831958699943e+00,-5.682589517940269452e+00,3.212863448747542261e+00,-5.503973634658099634e+00
3.514500000000000000e+07,3.109600749236150374e+00,-5.452325989345347068e+00,3.108105032150572544e+00,-5.620818344638492725e+00,3.110188283427198552e+00,-5.622463679233653977e+00,3.111520951967089221e+00,-5.439990568115605107e+00
3.588000000000000000e+07,3.012554878357049937e+00,-5.388805297916291259e+00,3.011050467494777116e+00,-5.560851823946981298e+00,3.013083749751703788e+00,-5.562521539046691998e+00,3.014428951179045857e+00,-5.376187602355369854e+00
3.661500000000000000e+07,2.919556621893509174e+00,-5.325565230432755648e+00,2.918044886908418789e+00,-5.501171279431408045e+00,2.920028872738430703e+00,-5.502862877387756591e+00,2.921384905269918786e+00,-5.312661841260464257e+00
3.735000000000000000e+07,2.830412533926265350e+00,-5.262691289360492242e+00,2.828891972463982718e+00,-5.441862501069034685e+00,2.830827748477203532e+00,-5.443573812272133772e+00,2.832196035803480338e+00,-5.249498605615711355e+00
3.808500000000000000e+07,2.744937993815434574e+00,-5.200258101880974593e+00,2.743404803023929084e+00,-5.382998340801007586e+00,2.745293615652190322e+00,-5.384727776385584086e+00,2.746678444501049476e+00,-5.186772808321081563e+00
3.882000000000000000e+07,2.662956740866739391e+00,-5.138330286812104575e+00,2.661406641070486412e+00,-5.324640481527083580e+00,2.663249510646587659e+00,-5.326387052508419373e+00,2.664656327747509046e+00,-5.124549750914490609e+00
3.955500000000000000e+07,2.584300653504553402e+00,-5.076963148802527748e+00,2.582731048568530863e+00,-5.266841644471493389e+00,2.584528442189357733e+00,-5.268604711130270069e+00,2.585961559404081012e+00,-5.062885556657543695e+00
