Frequency [MHz],|S0-0| [-],|S1-0| [-],Arg(S0-0) [rad],Arg(S1-0) [rad],Delay 0>0 [s],Delay 0>1 [s],|Z0| [Ohm],Arg(Z0) [rad]
2.000000e+02, 7.693694e-02, 1.007843e+00, 2.890882e+00, -2.933515e-01, -3.033505e-10, 2.563468e-10, 4.306617e+01, 3.838345e-02
2.058000e+02, 7.364284e-02, 1.008389e+00, 2.901936e+00, -3.026934e-01, -5.308045e-10, 2.582857e-10, 4.332571e+01, 3.513717e-02
2.116000e+02, 7.070007e-02, 1.008739e+00, 2.921280e+00, -3.121059e-01, -7.439375e-10, 2.591484e-10, 4.354759e+01, 3.104606e-02
2.174000e+02, 6.821762e-02, 1.008890e+00, 2.948391e+00, -3.215500e-01, -9.235366e-10, 2.589659e-10, 4.372626e+01, 2.631220e-02
2.232000e+02, 6.628839e-02, 1.008841e+00, 2.982047e+00, -3.309873e-01, -1.049641e-09, 2.577678e-10, 4.385801e+01, 2.115220e-02
2.290000e+02, 6.497770e-02, 1.008602e+00, 3.020299e+00, -3.403810e-01, -1.106846e-09, 2.555885e-10, 4.394114e+01, 1.578954e-02
2.348000e+02, 6.431314e-02, 1.008188e+00, 3.060635e+00, -3.496953e-01, -1.088835e-09, 2.525712e-10, 4.397606e+01, 1.044474e-02
2.406000e+02, 6.427955e-02, 1.007624e+00, 3.100315e+00, -3.588996e-01, -1.000765e-09, 2.488548e-10, 4.396515e+01, 5.327101e-03
2.464000e+02, 6.481995e-02, 1.006934e+00, 3.136785e+00, -3.679685e-01, -8.574979e-10, 2.445757e-10, 4.391266e+01, 6.258716e-04
2.522000e+02, 6.584462e-02, 1.006153e+00, -3.115151e+00, -3.768814e-01, -6.789083e-10, 2.399431e-10, 4.382435e+01, -3.496846e-03
2.580000e+02, 6.724316e-02, 1.005315e+00, -3.090410e+00, -3.856256e-01, -4.848390e-10, 2.351670e-10, 4.370716e+01, -6.911542e-03
2.638000e+02, 6.889734e-02, 1.004456e+00, -3.072741e+00, -3.941956e-01, -2.915880e-10, 2.304185e-10, 4.356878e+01, -9.524826e-03
2.696000e+02, 7.069155e-02, 1.003611e+00, -3.062115e+00, -4.025926e-01, -1.105709e-10, 2.259072e-10, 4.341724e+01, -1.128090e-02
2.754000e+02, 7.251981e-02, 1.002817e+00, -3.058085e+00, -4.108253e-01, 5.142463e-11, 2.218292e-10, 4.326058e+01, -1.216116e-02
2.812000e+02, 7.429020e-02, 1.002104e+00, -3.059959e+00, -4.189093e-01, 1.911377e-10, 2.183228e-10, 4.310640e+01, -1.218228e-02
2.870000e+02, 7.592535e-02, 1.001498e+00, -3.066925e+00, -4.268655e-01, 3.077576e-10, 2.154977e-10, 4.296174e+01, -1.139301e-02
2.928000e+02, 7.736319e-02, 1.001023e+00, -3.078140e+00, -4.347188e-01, 4.018308e-10, 2.134572e-10, 4.283279e+01, -9.869913e-03
2.986000e+02, 7.855545e-02, 1.000694e+00, -3.092784e+00, -4.424977e-01, 4.746214e-10, 2.123193e-10, 4.272475e+01, -7.712763e-03
3.044000e+02, 7.946675e-02, 1.000521e+00, -3.110080e+00, -4.502351e-01, 5.276029e-10, 2.120030e-10, 4.264176e+01, -5.039301e-03
3.102000e+02, 8.007284e-02, 1.000509e+00, -3.129308e+00, -4.579610e-01, 5.622026e-10, 2.126033e-10, 4.258687e+01, -1.980045e-03
3.160000e+02, 8.035950e-02, 1.000654e+00, 3.133390e+00, -4.657088e-01, 5.796477e-10, 2.139889e-10, 4.256202e+01, 1.326928e-03
3.218000e+02, 8.032174e-02, 1.000947e+00, 3.112266e+00, -4.735071e-01, 5.808919e-10, 2.161433e-10, 4.256801e+01, 4.741032e-03
3.276000e+02, 7.996242e-02, 1.001375e+00, 3.091097e+00, -4.813839e-01, 5.666122e-10, 2.189103e-10, 4.260467e+01, 8.123886e-03
3.334000e+02, 7.929179e-02, 1.001918e+00, 3.070448e+00, -4.893615e-01, 5.372121e-10, 2.222456e-10, 4.267079e+01, 1.134370e-02
3.392000e+02, 7.832701e-02, 1.002553e+00, 3.050871e+00, -4.974607e-01, 4.928665e-10, 2.259027e-10, 4.276430e+01, 1.427912e-02
3.450000e+02, 7.709176e-02, 1.003256e+00, 3.032909e+00, -5.056932e-01, 4.336102e-10, 2.297948e-10, 4.288229e+01, 1.682260e-02
3.508000e+02, 7.561573e-02, 1.003998e+00, 3.017108e+00, -5.140675e-01, 3.594062e-10, 2.337905e-10, 4.302118e+01, 1.888322e-02
3.566000e+02, 7.393485e-02, 1.004753e+00, 3.004010e+00, -5.225874e-01, 2.703342e-10, 2.376594e-10, 4.317679e+01, 2.038884e-02
3.624000e+02, 7.209080e-02, 1.005492e+00, 2.994158e+00, -5.312483e-01, 1.667500e-10, 2.413647e-10, 4.334448e+01, 2.128784e-02
3.682000e+02, 7.013062e-02, 1.006189e+00, 2.988081e+00, -5.400442e-01, 4.967123e-11, 2.447415e-10, 4.351931e+01, 2.154987e-02
