        f (GHz),                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J)
 5.00000000e-02,        +6.411094435293e-10,        +2.241540901538e-11,        +0.000000000000e+00,        +0.000000000000e+00
 5.50000000e-02,        +5.309932066280e-10,        +2.247442041564e-11,        +0.000000000000e+00,        +0.000000000000e+00
 6.00000000e-02,        +4.469361533076e-10,        +2.252368991638e-11,        +0.000000000000e+00,        +0.000000000000e+00
 6.50000000e-02,        +3.813353854255e-10,        +2.256628814948e-11,        +0.000000000000e+00,        +0.000000000000e+00
 7.00000000e-02,        +3.291670166473e-10,        +2.260426663552e-11,        +0.000000000000e+00,        +0.000000000000e+00
 7.50000000e-02,        +2.870048389940e-10,        +2.263904101947e-11,        +0.000000000000e+00,        +0.000000000000e+00
 8.00000000e-02,        +2.524479898550e-10,        +2.267161608122e-11,        +0.000000000000e+00,        +0.000000000000e+00
 8.50000000e-02,        +2.237740174792e-10,        +2.270272303287e-11,        +0.000000000000e+00,        +0.000000000000e+00
 9.00000000e-02,        +1.997214237272e-10,        +2.273290613898e-11,        +0.000000000000e+00,        +0.000000000000e+00
 9.50000000e-02,        +1.793493154032e-10,        +2.276257898600e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.00000000e-01,        +1.619444536389e-10,        +2.279206199154e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.05000000e-01,        +1.469582659573e-10,        +2.282160799001e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.10000000e-01,        +1.339632777713e-10,        +2.285142004885e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.15000000e-01,        +1.226224147453e-10,        +2.288166410866e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.20000000e-01,        +1.126670095563e-10,        +2.291247810482e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.25000000e-01,        +1.038808039304e-10,        +2.294397865390e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.30000000e-01,        +9.608814931897e-11,        +2.297626602657e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.35000000e-01,        +8.914519307735e-11,        +2.300942789667e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.40000000e-01,        +8.293321739695e-11,        +2.304354220426e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.45000000e-01,        +7.735355062296e-11,        +2.307867936914e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.50000000e-01,        +7.232364079522e-11,        +2.311490402286e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.55000000e-01,        +6.777399776408e-11,        +2.315227638008e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.60000000e-01,        +6.364579111226e-11,        +2.319085333742e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.65000000e-01,        +5.988894798562e-11,        +2.323068936457e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.70000000e-01,        +5.646063541036e-11,        +2.327183723612e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.75000000e-01,        +5.332404080403e-11,        +2.331434864036e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.80000000e-01,        +5.044738557470e-11,        +2.335827469289e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.85000000e-01,        +4.780312226506e-11,        +2.340366637610e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.90000000e-01,        +4.536727723522e-11,        +2.345057492113e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.95000000e-01,        +4.311890950613e-11,        +2.349905214513e-11,        +0.000000000000e+00,        +0.000000000000e+00
 2.00000000e-01,        +4.103966289163e-11,        +2.354915075416e-11,        +0.000000000000e+00,        +0.000000000000e+00
 2.05000000e-01,        +3.911339349095e-11,        +2.360092461966e-11,        +0.000000000000e+00,        +0.000000000000e+00
 2.10000000e-01,        +3.732585839792e-11,        +2.365442903534e-11,        +0.000000000000e+00,        +0.000000000000e+00
 2.15000000e-01,        +3.566445440129e-11,        +2.370972095981e-11,        +0.000000000000e+00,        +0.000000000000e+00
 2.20000000e-01,        +3.411799771381e-11,        +2.376685924943e-11,        +0.000000000000e+00,        +0.000000000000e+00
 2.25000000e-01,        +3.267653753635e-11,        +2.382590488521e-11,        +0.000000000000e+00,        +0.000000000000e+00
 2.30000000e-01,        +3.133119765175e-11,        +2.388692119707e-11,        +0.000000000000e+00,        +0.000000000000e+00
 2.35000000e-01,        +3.007404134052e-11,        +2.394997408823e-11,        +0.000000000000e+00,        +0.000000000000e+00
 2.40000000e-01,        +2.889795578229e-11,        +2.401513226236e-11,        +0.000000000000e+00,        +0.000000000000e+00
 2.45000000e-01,        +2.779655280280e-11,        +2.408246745591e-11,        +0.000000000000e+00,        +0.000000000000e+00
 2.50000000e-01,        +2.676408338495e-11,        +2.415205467754e-11,        +0.000000000000e+00,        +0.000000000000e+00
