        f (GHz),               I_inc[1] (A),               Re{I[1]} (A),               Im{I[1]} (A)
 5.00000000e-02,        +1.414213562373e-01,        +3.279080541924e-03,        -2.748785169882e-02
 5.50000000e-02,        +1.414213562373e-01,        +2.729002726180e-03,        -2.485218382895e-02
 6.00000000e-02,        +1.414213562373e-01,        +2.305551637812e-03,        -2.262737870811e-02
 6.50000000e-02,        +1.414213562373e-01,        +1.972365156838e-03,        -2.072159831334e-02
 7.00000000e-02,        +1.414213562373e-01,        +1.705298894006e-03,        -1.906831376103e-02
 7.50000000e-02,        +1.414213562373e-01,        +1.487807681881e-03,        -1.761819439880e-02
 8.00000000e-02,        +1.414213562373e-01,        +1.308242662184e-03,        -1.633391249010e-02
 8.50000000e-02,        +1.414213562373e-01,        +1.158207276495e-03,        -1.518671579864e-02
 9.00000000e-02,        +1.414213562373e-01,        +1.031523353404e-03,        -1.415410677077e-02
 9.50000000e-02,        +1.414213562373e-01,        +9.235616024978e-04,        -1.321823425183e-02
 1.00000000e-01,        +1.414213562373e-01,        +8.307967579980e-04,        -1.236475573308e-02
 1.05000000e-01,        +1.414213562373e-01,        +7.505051429085e-04,        -1.158201743334e-02
 1.10000000e-01,        +1.414213562373e-01,        +6.805548014850e-04,        -1.086045349184e-02
 1.15000000e-01,        +1.414213562373e-01,        +6.192571573488e-04,        -1.019213902258e-02
 1.20000000e-01,        +1.414213562373e-01,        +5.652603969602e-04,        -9.570453033794e-03
 1.25000000e-01,        +1.414213562373e-01,        +5.174716717949e-04,        -8.989821002246e-03
 1.30000000e-01,        +1.414213562373e-01,        +4.749995386141e-04,        -8.445516010268e-03
 1.35000000e-01,        +1.414213562373e-01,        +4.371108297726e-04,        -7.933503493529e-03
 1.40000000e-01,        +1.414213562373e-01,        +4.031979569265e-04,        -7.450318850393e-03
 1.45000000e-01,        +1.414213562373e-01,        +3.727538560357e-04,        -6.992970084466e-03
 1.50000000e-01,        +1.414213562373e-01,        +3.453525956421e-04,        -6.558859710428e-03
 1.55000000e-01,        +1.414213562373e-01,        +3.206342289069e-04,        -6.145721622856e-03
 1.60000000e-01,        +1.414213562373e-01,        +2.982928584199e-04,        -5.751569689731e-03
 1.65000000e-01,        +1.414213562373e-01,        +2.780671565780e-04,        -5.374655608412e-03
 1.70000000e-01,        +1.414213562373e-01,        +2.597327795958e-04,        -5.013434134976e-03
 1.75000000e-01,        +1.414213562373e-01,        +2.430962540464e-04,        -4.666534225267e-03
 1.80000000e-01,        +1.414213562373e-01,        +2.279900174786e-04,        -4.332734947679e-03
 1.85000000e-01,        +1.414213562373e-01,        +2.142683702139e-04,        -4.010945271968e-03
 1.90000000e-01,        +1.414213562373e-01,        +2.018041515594e-04,        -3.700187025336e-03
 1.95000000e-01,        +1.414213562373e-01,        +1.904859957406e-04,        -3.399580451212e-03
 2.00000000e-01,        +1.414213562373e-01,        +1.802160546432e-04,        -3.108331918209e-03
 2.05000000e-01,        +1.414213562373e-01,        +1.709080986592e-04,        -2.825723414355e-03
 2.10000000e-01,        +1.414213562373e-01,        +1.624859254994e-04,        -2.551103530721e-03
 2.15000000e-01,        +1.414213562373e-01,        +1.548820211808e-04,        -2.283879693208e-03
 2.20000000e-01,        +1.414213562373e-01,        +1.480364285479e-04,        -2.023511444852e-03
 2.25000000e-01,        +1.414213562373e-01,        +1.418957874178e-04,        -1.769504615895e-03
 2.30000000e-01,        +1.414213562373e-01,        +1.364125173078e-04,        -1.521406246982e-03
 2.35000000e-01,        +1.414213562373e-01,        +1.315441191452e-04,        -1.278800153646e-03
 2.40000000e-01,        +1.414213562373e-01,        +1.272525766909e-04,        -1.041303038722e-03
 2.45000000e-01,        +1.414213562373e-01,        +1.235038418691e-04,        -8.085610745096e-04
 2.50000000e-01,        +1.414213562373e-01,        +1.202673909899e-04,        -5.802468889058e-04
 2.55000000e-01,        +1.414213562373e-01,        +1.175158410953e-04,        -3.560568999778e-04
 2.60000000e-01,        +1.414213562373e-01,        +1.152246174961e-04,        -1.357089519268e-04
 2.65000000e-01,        +1.414213562373e-01,        +1.133716650517e-04,        +8.105978756749e-05
