        f (GHz),             |S[1][1]| (dB),        arg(S[1][1]) (deg.)
 5.00000000e-02,        -3.513056951140e-02,        -1.687461521109e+02
 5.50000000e-02,        -3.199478796794e-02,        -1.698410253440e+02
 6.00000000e-02,        -2.936936730073e-02,        -1.707616632189e+02
 6.50000000e-02,        -2.713992262696e-02,        -1.715479091911e+02
 7.00000000e-02,        -2.522369405008e-02,        -1.722283424952e+02
 7.50000000e-02,        -2.355938172581e-02,        -1.728239904421e+02
 8.00000000e-02,        -2.210064543754e-02,        -1.733506653057e+02
 8.50000000e-02,        -2.081182209002e-02,        -1.738204850392e+02
 9.00000000e-02,        -1.966502931976e-02,        -1.742428917404e+02
 9.50000000e-02,        -1.863816042431e-02,        -1.746253511118e+02
 1.00000000e-01,        -1.771346719987e-02,        -1.749738436054e+02
 1.05000000e-01,        -1.687653949372e-02,        -1.752932161569e+02
 1.10000000e-01,        -1.611555799950e-02,        -1.755874385563e+02
 1.15000000e-01,        -1.542073877082e-02,        -1.758597932982e+02
 1.20000000e-01,        -1.478391453264e-02,        -1.761130182009e+02
 1.25000000e-01,        -1.419821510955e-02,        -1.763494149507e+02
 1.30000000e-01,        -1.365782068265e-02,        -1.765709327009e+02
 1.35000000e-01,        -1.315776925153e-02,        -1.767792331643e+02
 1.40000000e-01,        -1.269380492122e-02,        -1.769757418073e+02
 1.45000000e-01,        -1.226225727496e-02,        -1.771616884866e+02
 1.50000000e-01,        -1.185994465817e-02,        -1.773381399850e+02
 1.55000000e-01,        -1.148409602925e-02,        -1.775060262681e+02
 1.60000000e-01,        -1.113228735423e-02,        -1.776661618317e+02
 1.65000000e-01,        -1.080238948786e-02,        -1.778192631789e+02
 1.70000000e-01,        -1.049252519633e-02,        -1.779659632205e+02
 1.75000000e-01,        -1.020103350799e-02,        -1.781068232140e+02
 1.80000000e-01,        -9.926439978286e-03,        -1.782423427172e+02
 1.85000000e-01,        -9.667431758232e-03,        -1.783729679324e+02
 1.90000000e-01,        -9.422836588151e-03,        -1.784990987363e+02
 1.95000000e-01,        -9.191605017162e-03,        -1.786210946320e+02
 2.00000000e-01,        -8.972795288074e-03,        -1.787392798103e+02
 2.05000000e-01,        -8.765560435958e-03,        -1.788539474729e+02
 2.10000000e-01,        -8.569137234369e-03,        -1.789653635408e+02
 2.15000000e-01,        -8.382836690927e-03,        -1.790737698463e+02
 2.20000000e-01,        -8.206035848012e-03,        -1.791793868928e+02
 2.25000000e-01,        -8.038170687636e-03,        -1.792824162479e+02
 2.30000000e-01,        -7.878729974432e-03,        -1.793830426267e+02
 2.35000000e-01,        -7.727249898934e-03,        -1.794814357106e+02
 2.40000000e-01,        -7.583309406336e-03,        -1.795777517416e+02
 2.45000000e-01,        -7.446526114704e-03,        -1.796721349221e+02
 2.50000000e-01,        -7.316552742067e-03,        -1.797647186500e+02
