        f (GHz),               V_inc[1] (V),               Re{V[1]} (V),               Im{V[1]} (V)
 5.00000000e-02,        +7.071067811865e+00,        +1.639540270962e-01,        -1.374392584941e+00
 5.50000000e-02,        +7.071067811865e+00,        +1.364501363090e-01,        -1.242609191448e+00
 6.00000000e-02,        +7.071067811865e+00,        +1.152775818906e-01,        -1.131368935405e+00
 6.50000000e-02,        +7.071067811865e+00,        +9.861825784188e-02,        -1.036079915667e+00
 7.00000000e-02,        +7.071067811865e+00,        +8.526494470032e-02,        -9.534156880517e-01
 7.50000000e-02,        +7.071067811865e+00,        +7.439038409406e-02,        -8.809097199401e-01
 8.00000000e-02,        +7.071067811865e+00,        +6.541213310921e-02,        -8.166956245051e-01
 8.50000000e-02,        +7.071067811865e+00,        +5.791036382476e-02,        -7.593357899318e-01
 9.00000000e-02,        +7.071067811865e+00,        +5.157616767019e-02,        -7.077053385385e-01
 9.50000000e-02,        +7.071067811865e+00,        +4.617808012489e-02,        -6.609117125914e-01
 1.00000000e-01,        +7.071067811865e+00,        +4.153983789990e-02,        -6.182377866538e-01
 1.05000000e-01,        +7.071067811865e+00,        +3.752525714543e-02,        -5.791008716669e-01
 1.10000000e-01,        +7.071067811865e+00,        +3.402774007425e-02,        -5.430226745922e-01
 1.15000000e-01,        +7.071067811865e+00,        +3.096285786744e-02,        -5.096069511291e-01
 1.20000000e-01,        +7.071067811865e+00,        +2.826301984801e-02,        -4.785226516897e-01
 1.25000000e-01,        +7.071067811865e+00,        +2.587358358975e-02,        -4.494910501123e-01
 1.30000000e-01,        +7.071067811865e+00,        +2.374997693070e-02,        -4.222758005134e-01
 1.35000000e-01,        +7.071067811865e+00,        +2.185554148863e-02,        -3.966751746765e-01
 1.40000000e-01,        +7.071067811865e+00,        +2.015989784632e-02,        -3.725159425197e-01
 1.45000000e-01,        +7.071067811865e+00,        +1.863769280179e-02,        -3.496485042233e-01
 1.50000000e-01,        +7.071067811865e+00,        +1.726762978210e-02,        -3.279429855214e-01
 1.55000000e-01,        +7.071067811865e+00,        +1.603171144534e-02,        -3.072860811428e-01
 1.60000000e-01,        +7.071067811865e+00,        +1.491464292099e-02,        -2.875784844866e-01
 1.65000000e-01,        +7.071067811865e+00,        +1.390335782890e-02,        -2.687327804206e-01
 1.70000000e-01,        +7.071067811865e+00,        +1.298663897979e-02,        -2.506717067488e-01
 1.75000000e-01,        +7.071067811865e+00,        +1.215481270232e-02,        -2.333267112634e-01
 1.80000000e-01,        +7.071067811865e+00,        +1.139950087393e-02,        -2.166367473839e-01
 1.85000000e-01,        +7.071067811865e+00,        +1.071341851070e-02,        -2.005472635984e-01
 1.90000000e-01,        +7.071067811865e+00,        +1.009020757797e-02,        -1.850093512668e-01
 1.95000000e-01,        +7.071067811865e+00,        +9.524299787028e-03,        -1.699790225606e-01
 2.00000000e-01,        +7.071067811865e+00,        +9.010802732162e-03,        -1.554165959104e-01
 2.05000000e-01,        +7.071067811865e+00,        +8.545404932960e-03,        -1.412861707178e-01
 2.10000000e-01,        +7.071067811865e+00,        +8.124296274970e-03,        -1.275551765361e-01
 2.15000000e-01,        +7.071067811865e+00,        +7.744101059038e-03,        -1.141939846604e-01
 2.20000000e-01,        +7.071067811865e+00,        +7.401821427395e-03,        -1.011755722426e-01
 2.25000000e-01,        +7.071067811865e+00,        +7.094789370892e-03,        -8.847523079473e-02
 2.30000000e-01,        +7.071067811865e+00,        +6.820625865388e-03,        -7.607031234911e-02
 2.35000000e-01,        +7.071067811865e+00,        +6.577205957262e-03,        -6.394000768232e-02
 2.40000000e-01,        +7.071067811865e+00,        +6.362628834543e-03,        -5.206515193610e-02
 2.45000000e-01,        +7.071067811865e+00,        +6.175192093456e-03,        -4.042805372548e-02
 2.50000000e-01,        +7.071067811865e+00,        +6.013369549493e-03,        -2.901234444529e-02
 2.55000000e-01,        +7.071067811865e+00,        +5.875792054764e-03,        -1.780284499889e-02
 2.60000000e-01,        +7.071067811865e+00,        +5.761230874806e-03,        -6.785447596339e-03
 2.65000000e-01,        +7.071067811865e+00,        +5.668583252586e-03,        +4.052989378374e-03
 2.70000000e-01,        +7.071067811865e+00,        +5.596859848508e-03,        +1.472473513807e-02
 2.75000000e-01,        +7.071067811865e+00,        +5.545173795473e-03,        +2.524127036241e-02
 2.80000000e-01,        +7.071067811865e+00,        +5.512731149528e-03,        +3.561336242246e-02
 2.85000000e-01,        +7.071067811865e+00,        +5.498822551054e-03,        +4.585113304154e-02
 2.90000000e-01,        +7.071067811865e+00,        +5.502815940091e-03,        +5.596411932756e-02
 2.95000000e-01,        +7.071067811865e+00,        +5.524150193356e-03,        +6.596132898799e-02
 3.00000000e-01,        +7.071067811865e+00,        +5.562329570651e-03,        +7.585129043329e-02
 3.05000000e-01,        +7.071067811865e+00,        +5.616918875270e-03,        +8.564209838540e-02
 3.10000000e-01,        +7.071067811865e+00,        +5.687539247456e-03,        +9.534145553110e-02
 3.15000000e-01,        +7.071067811865e+00,        +5.773864522116e-03,        +1.049567106955e-01
 3.20000000e-01,        +7.071067811865e+00,        +5.875618092551e-03,        +1.144948939547e-01
 3.25000000e-01,        +7.071067811865e+00,        +5.992570230914e-03,        +1.239627490600e-01
 3.30000000e-01,        +7.071067811865e+00,        +6.124535823954e-03,        +1.333667635039e-01
 3.35000000e-01,        +7.071067811865e+00,        +6.271372489436e-03,        +1.427131965258e-01
 3.40000000e-01,        +7.071067811865e+00,        +6.432979044639e-03,        +1.520081053222e-01
 3.45000000e-01,        +7.071067811865e+00,        +6.609294303706e-03,        +1.612573697054e-01
 3.50000000e-01,        +7.071067811865e+00,        +6.800296185450e-03,        +1.704667154299e-01
 3.55000000e-01,        +7.071067811865e+00,        +7.006001117654e-03,        +1.796417363887e-01
 3.60000000e-01,        +7.071067811865e+00,        +7.226463728023e-03,        +1.887879158695e-01
 3.65000000e-01,        +7.071067811865e+00,        +7.461776815801e-03,        +1.979106470447e-01
 3.70000000e-01,        +7.071067811865e+00,        +7.712071601866e-03,        +2.070152528631e-01
 3.75000000e-01,        +7.071067811865e+00,        +7.977518258745e-03,        +2.161070055030e-01
 3.80000000e-01,        +7.071067811865e+00,        +8.258326725747e-03,        +2.251911455406e-01
 3.85000000e-01,        +7.071067811865e+00,        +8.554747818165e-03,        +2.342729009865e-01
 3.90000000e-01,        +7.071067811865e+00,        +8.867074643482e-03,        +2.433575063422e-01
 3.95000000e-01,        +7.071067811865e+00,        +9.195644341727e-03,        +2.524502218278e-01
 4.00000000e-01,        +7.071067811865e+00,        +9.540840171711e-03,        +2.615563529398e-01
 4.05000000e-01,        +7.071067811865e+00,        +9.903093969849e-03,        +2.706812705003e-01
 4.10000000e-01,        +7.071067811865e+00,        +1.028288901390e-02,        +2.798304313685e-01
 4.15000000e-01,        +7.071067811865e+00,        +1.068076333023e-02,        +2.890093999967e-01
 4.20000000e-01,        +7.071067811865e+00,        +1.109731349023e-02,        +2.982238710262e-01
 4.25000000e-01,        +7.071067811865e+00,        +1.153319894991e-02,        +3.074796931359e-01
 4.30000000e-01,        +7.071067811865e+00,        +1.198914699589e-02,        +3.167828943767e-01
 4.35000000e-01,        +7.071067811865e+00,        +1.246595837201e-02,        +3.261397092498e-01
 4.40000000e-01,        +7.071067811865e+00,        +1.296451367370e-02,        +3.355566078168e-01
 4.45000000e-01,        +7.071067811865e+00,        +1.348578061197e-02,        +3.450403271637e-01
 4.50000000e-01,        +7.071067811865e+00,        +1.403082226675e-02,        +3.545979055848e-01
 4.55000000e-01,        +7.071067811865e+00,        +1.460080647016e-02,        +3.642367198989e-01
 4.60000000e-01,        +7.071067811865e+00,        +1.519701648515e-02,        +3.739645263708e-01
 4.65000000e-01,        +7.071067811865e+00,        +1.582086317446e-02,        +3.837895057801e-01
