f_Hz,ReZ11,ImZ11,ReZ21,ImZ21,ReZ31,ImZ31,ReZ41,ImZ41,ReZ51,ImZ51,ReZ61,ImZ61,ReZ12,ImZ12,ReZ22,ImZ22,ReZ32,ImZ32,ReZ42,ImZ42,ReZ52,ImZ52,ReZ62,ImZ62,ReZ13,ImZ13,ReZ23,ImZ23,ReZ33,ImZ33,ReZ43,ImZ43,ReZ53,ImZ53,ReZ63,ImZ63,ReZ14,ImZ14,ReZ24,ImZ24,ReZ34,ImZ34,ReZ44,ImZ44,ReZ54,ImZ54,ReZ64,ImZ64,ReZ15,ImZ15,ReZ25,ImZ25,ReZ35,ImZ35,ReZ45,ImZ45,ReZ55,ImZ55,ReZ65,ImZ65,ReZ16,ImZ16,ReZ26,ImZ26,ReZ36,ImZ36,ReZ46,ImZ46,ReZ56,ImZ56,ReZ66,ImZ66
3.000000000000000000e+07,1.540505532605307053e+02,-2.683523002391958698e+02,1.540475321252371543e+02,-2.684680177747746939e+02,1.540468826866647305e+02,-2.684883427285278685e+02,1.540448248966516474e+02,-2.683791801763300100e+02,1.540424528563636102e+02,-2.685187985508679276e+02,1.540450470229457949e+02,-2.684339726824844092e+02,1.530406829986617936e+02,-2.678945578361397679e+02,1.530441790891723031e+02,-2.677387516123357045e+02,1.530435518168843316e+02,-2.678153938165216914e+02,1.530364320007646484e+02,-2.678798791406026680e+02,1.530375387307255721e+02,-2.679237550344036549e+02,1.530390377085870171e+02,-2.679223160398564119e+02,1.546389710850071992e+02,-2.688628200498901037e+02,1.546375552291684699e+02,-2.687634254654783490e+02,1.546426074864968427e+02,-2.686857952775428089e+02,1.546345778334822114e+02,-2.688480744874275388e+02,1.546369873404462680e+02,-2.688543455669512241e+02,1.546372185720265975e+02,-2.688808578173228057e+02,1.527402884663046336e+02,-2.676172727004669127e+02,1.527354667362727696e+02,-2.676874004395543807e+02,1.527365149790273335e+02,-2.677157695767936616e+02,1.527441731957337083e+02,-2.675768666918513077e+02,1.527381024650811412e+02,-2.677650310370885904e+02,1.527392326992645906e+02,-2.676875640010643451e+02,1.546616577152353784e+02,-2.688563425857047378e+02,1.546624726414327711e+02,-2.688327195748328791e+02,1.546638059836989498e+02,-2.688154499272663998e+02,1.546606687610189113e+02,-2.688542730970002026e+02,1.546660519948889032e+02,-2.685852725132488672e+02,1.546642657980927140e+02,-2.688623642862481802e+02,1.560549113070911744e+02,-2.696239788311915504e+02,1.560551514821474370e+02,-2.696807013634796135e+02,1.560531153115760787e+02,-2.696946559450607879e+02,1.560562244065464768e+02,-2.696359124496929098e+02,1.560553620897580913e+02,-2.697156103147276553e+02,1.560574951307418701e+02,-2.694377374053571543e+02
3.109444444444444403e+07,1.458960438281333438e+02,-2.634129080573655415e+02,1.458931146811804638e+02,-2.635330671326726133e+02,1.458925769098113676e+02,-2.635542410570468519e+02,1.458906300461189574e+02,-2.634413342027373233e+02,1.458883630948350572e+02,-2.635861820483390261e+02,1.458909225500388516e+02,-2.634982388384001979e+02,1.449228756235340256e+02,-2.629397815390906885e+02,1.449261730510444295e+02,-2.627779287126975305e+02,1.449256332663386786e+02,-2.628574511860376219e+02,1.449187033977786427e+02,-2.629249523269523934e+02,1.449199412652910439e+02,-2.629703133089256539e+02,1.449212733243384150e+02,-2.629687775724159451e+02,1.464626047074154087e+02,-2.639385577371836575e+02,1.464612174947667711e+02,-2.638355254042025422e+02,1.464660377941480363e+02,-2.637546930359835073e+02,1.464584347734008531e+02,-2.639238223680324040e+02,1.464607573636362190e+02,-2.639300381548523546e+02,1.464611721475891670e+02,-2.639576489357565379e+02,1.446336644159141542e+02,-2.626540245776863003e+02,1.446290887518873376e+02,-2.627271009658022081e+02,1.446300963762928689e+02,-2.627564174153930594e+02,1.446373363791269639e+02,-2.626117235637751719e+02,1.446315435412136310e+02,-2.628072435284615835e+02,1.446327049876284718e+02,-2.627269811733200413e+02,1.464851714485253638e+02,-2.639365501583416744e+02,1.464860039098446691e+02,-2.639120248427165620e+02,1.464873279673847719e+02,-2.638941012799452324e+02,1.464843861632789412e+02,-2.639346108386563401e+02,1.464893226355980858e+02,-2.636550907014240011e+02,1.464877873704248543e+02,-2.639427905098853557e+02,1.478273937272900298e+02,-2.647257407629242607e+02,1.478277249032884129e+02,-2.647845427130554299e+02,1.478257293382176556e+02,-2.647991222664349493e+02,1.478285622535895243e+02,-2.647378679448835896e+02,1.478279389963924757e+02,-2.648207308316051467e+02,1.478298946856283465e+02,-2.645324252539848544e+02
3.218888888888888806e+07,1.383122609772921692e+02,-2.585038701124645399e+02,1.383094177482617795e+02,-2.586284640852535404e+02,1.383089843534256431e+02,-2.586504957354617318e+02,1.383071400434759823e+02,-2.585338410286528301e+02,1.383049750922529313e+02,-2.586839193602028786e+02,1.383074980136823058e+02,-2.585928587230819744e+02,1.373749123558373242e+02,-2.580185240025703024e+02,1.373780260405575859e+02,-2.578506250329239151e+02,1.373775691035189652e+02,-2.579330331012795341e+02,1.373708069834638650e+02,-2.580035233565341173e+02,1.373721745162407615e+02,-2.580503995724291144e+02,1.373733502068237726e+02,-2.580487424049795777e+02,1.388575733819064340e+02,-2.590429014782059198e+02,1.388562155653975765e+02,-2.589362351843409442e+02,1.388608190106492657e+02,-2.588521977929311220e+02,1.388536070958732580e+02,-2.590281625736402589e+02,1.388558526910923945e+02,-2.590343347551181523e+02,1.388564424033638431e+02,-2.590630597508917390e+02,1.370965845955637974e+02,-2.577251933813638516e+02,1.370922399767906654e+02,-2.578012208970415600e+02,1.370932098288767520e+02,-2.578314864828012105e+02,1.371000599293278981e+02,-2.576810009867325562e+02,1.370945255100579629e+02,-2.578838766027998872e+02,1.370957169479336812e+02,-2.578008199932476145e+02,1.388798950977042068e+02,-2.590451114794703358e+02,1.388807440276158616e+02,-2.590196909203009454e+02,1.388820595545374204e+02,-2.590011140924094661e+02,1.388792953687849945e+02,-2.590433203969735700e+02,1.388838200046386930e+02,-2.587532700536289667e+02,1.388825180271653039e+02,-2.590515722885780860e+02,1.401723951328957583e+02,-2.598516892024006779e+02,1.401728134993004460e+02,-2.599125836427755303e+02,1.401708559173112008e+02,-2.599277835125472507e+02,1.401734365868258294e+02,-2.598640034183184184e+02,1.401730316380798342e+02,-2.599500507007464876e+02,1.401748211407281133e+02,-2.596513115867568331e+02
3.328333333333333209e+07,1.312535642421740931e+02,-2.536457955629271908e+02,1.312508022822384248e+02,-2.537748181297093311e+02,1.312504652477177558e+02,-2.537977151874444246e+02,1.312487162067955353e+02,-2.536773090452640247e+02,1.312466505243052950e+02,-2.538326189228021406e+02,1.312491349342255944e+02,-2.537384404245083260e+02,1.303510144345480057e+02,-2.531510492505795469e+02,1.303539582437850868e+02,-2.529771052651845764e+02,1.303535791403074597e+02,-2.530624036119915274e+02,1.303469675363495810e+02,-2.531358569993686558e+02,1.303484594071814229e+02,-2.531842765411043672e+02,1.303494920791901279e+02,-2.531824758778431033e+02,1.317783035065142485e+02,-2.541966578942396495e+02,1.317769753908392829e+02,-2.540863612995427445e+02,1.317813763580151658e+02,-2.539991168649168856e+02,1.317745243896705745e+02,-2.541819016516390661e+02,1.317767006955019156e+02,-2.541880417906189393e+02,1.317774552973766617e+02,-2.542178951393852628e+02,1.300832352759559569e+02,-2.528509432262981420e+02,1.300791075263522316e+02,-2.529299236470646974e+02,1.300800419885642327e+02,-2.529611401655514271e+02,1.300865285190628242e+02,-2.528048635198330203e+02,1.300812344214795644e+02,-2.530150940117550533e+02,1.300824546059779721e+02,-2.529292440682454810e+02,1.318002817554702517e+02,-2.542028517968032304e+02,1.318011451284046132e+02,-2.541765423591282911e+02,1.318024527439125961e+02,-2.541573128847712155e+02,1.317998478752157610e+02,-2.542012241392183682e+02,1.318039948784780222e+02,-2.539006358114285149e+02,1.318029106459341619e+02,-2.542095346444908444e+02,1.330445413563372483e+02,-2.550231072089933946e+02,1.330450416177274633e+02,-2.550861060113486189e+02,1.330431202825349715e+02,-2.551019218945270666e+02,1.330454734017512521e+02,-2.550356040177395300e+02,1.330452644205178387e+02,-2.551248519357938846e+02,1.330468981236275283e+02,-2.548156788598950300e+02
3.437777777777777612e+07,1.246779094983623253e+02,-2.488548685403403624e+02,1.246752254046194253e+02,-2.489883138566710556e+02,1.246749761382505710e+02,-2.490120828857713491e+02,1.246733160527452782e+02,-2.488879217892393854e+02,1.246713472043143724e+02,-2.490484643531001723e+02,1.246737910289605367e+02,-2.489511671992205208e+02,1.238090420719021125e+02,-2.483532268214042915e+02,1.238118288832821179e+02,-2.481732395129802455e+02,1.238115223065660615e+02,-2.482614321584941024e+02,1.238050484508315492e+02,-2.483378238466623884e+02,1.238066559486301657e+02,-2.483878124419296682e+02,1.238075612774936189e+02,-2.483858490415535698e+02,1.251827946213212641e+02,-2.494161903672326162e+02,1.251814961020827468e+02,-2.493022669666573847e+02,1.251857082700225448e+02,-2.492118142116067645e+02,1.251791891048999616e+02,-2.494014032026948655e+02,1.251813017925105811e+02,-2.494075225327841281e+02,1.251822100706139196e+02,-2.494385167322216716e+02,1.235514534426286417e+02,-2.480470529016293710e+02,1.235475291727723146e+02,-2.481289873920391358e+02,1.235484302140019111e+02,-2.481611565719019268e+02,1.235545776706541261e+02,-2.479990902491197176e+02,1.235495070773782658e+02,-2.482166741683045927e+02,1.235507547531456680e+02,-2.481280316690956056e+02,1.252043532212682919e+02,-2.494261525596883189e+02,1.252052282044381855e+02,-2.493989598400380885e+02,1.252065284119652517e+02,-2.493790782959953560e+02,1.252040643105627282e+02,-2.494247005492994447e+02,1.252078669958062420e+02,-2.491135692125372714e+02,1.252069868537379591e+02,-2.494330587870713885e+02,1.264019714885958763e+02,-2.502567934225750150e+02,1.264025470961059767e+02,-2.503219071487545762e+02,1.264006610320869726e+02,-2.503383351666400927e+02,1.264028117094990336e+02,-2.502694704431270623e+02,1.264027752115630250e+02,-2.503619320235795840e+02,1.264042627859626577e+02,-2.500423249235444985e+02
3.547222222222222388e+07,1.185466680219675339e+02,-2.441436185954634368e+02,1.185440594663309781e+02,-2.442814813682145143e+02,1.185438889480280409e+02,-2.443061277885758500e+02,1.185423123626938633e+02,-2.441782083585226815e+02,1.185404381519859811e+02,-2.443439848541494541e+02,1.185428392792478576e+02,-2.442435678856742811e+02,1.177103048590880974e+02,-2.436373013018368283e+02,1.177129466196340672e+02,-2.434512728409304714e+02,1.177127070510855447e+02,-2.435423631309628547e+02,1.177063621459229665e+02,-2.436216697893135290e+02,1.177080736443856779e+02,-2.436732505572251171e+02,1.177088691643974556e+02,-2.436711081383147928e+02,1.190324433269362174e+02,-2.447141901532365296e+02,1.190311739302685936e+02,-2.445966432449453976e+02,1.190352103072870733e+02,-2.445029815662748831e+02,1.190290004752468604e+02,-2.446993589452910385e+02,1.190310533637460253e+02,-2.447054681963202256e+02,1.190321031678026031e+02,-2.447376140399211124e+02,1.174625347531572856e+02,-2.433256850554533628e+02,1.174588013072615240e+02,-2.434105742401861789e+02,1.174596705314566663e+02,-2.434436977098998796e+02,1.174655017076363919e+02,-2.432758439984355903e+02,1.174606389895410672e+02,-2.435007793351544763e+02,1.174619129039714522e+02,-2.434093449197244468e+02,1.190535245952609955e+02,-2.447277223073498078e+02,1.190544076975758685e+02,-2.446996510828073497e+02,1.190557009031020357e+02,-2.446791179966586469e+02,1.190533590176871002e+02,-2.447264551693054671e+02,1.190568496430125833e+02,-2.444047784234905976e+02,1.190561616198576331e+02,-2.447348530071037658e+02,1.202061737909884016e+02,-2.455658341714914457e+02,1.202068171706681454e+02,-2.456330719958759801e+02,1.202049660408070935e+02,-2.456501087464820614e+02,1.202069394566990326e+02,-2.455786910268897145e+02,1.202070512512137270e+02,-2.456743760599477184e+02,1.202084017099296176e+02,-2.453443351717540111e+02
3.656666666666666418e+07,1.128244188307406972e+02,-2.395215653625738241e+02,1.128218843950279648e+02,-2.396638409173906723e+02,1.128217833216189661e+02,-2.396893689961056566e+02,1.128202855318918836e+02,-2.395576880513326046e+02,1.128185039458114289e+02,-2.397286998450962869e+02,1.128208602806578824e+02,-2.396251615414969649e+02,1.120193469833037625e+02,-2.390125354724745534e+02,1.120218547640371725e+02,-2.388204684327456278e+02,1.120216765526798355e+02,-2.389144590364742555e+02,1.120154552883262085e+02,-2.389966591133137399e+02,1.120172567079318782e+02,-2.390498523805868274e+02,1.120179613577090976e+02,-2.390475176996989433e+02,1.132918396167644062e+02,-2.401003220379030267e+02,1.132905985390836463e+02,-2.399791546968664875e+02,1.132944714856992761e+02,-2.398822841053450645e+02,1.132885508562941936e+02,-2.400854343282979642e+02,1.132905460945305123e+02,-2.400915435787150045e+02,1.132917245703548446e+02,-2.401248501205760135e+02,1.117810167461314705e+02,-2.386960288321695884e+02,1.117774621543011619e+02,-2.387838728570877436e+02,1.117783008472321598e+02,-2.388179521200225963e+02,1.117838369571641266e+02,-2.386443139890436669e+02,1.117791675888803837e+02,-2.388765982658861162e+02,1.117804665049112316e+02,-2.387823724396925229e+02,1.133124011893307994e+02,-2.401172421875005796e+02,1.133132884058499315e+02,-2.400882963842517199e+02,1.133145749352138694e+02,-2.400671122297832767e+02,1.133123369511293959e+02,-2.401161661678241046e+02,1.133155465543434985e+02,-2.397839440969223972e+02,1.133150401653085453e+02,-2.401245982006313966e+02,1.144217919300429003e+02,-2.409602510136072624e+02,1.144224947057125661e+02,-2.410296206746793359e+02,1.144206786942581715e+02,-2.410472632678306866e+02,1.144224997714670167e+02,-2.409732892485700404e+02,1.144227353825922222e+02,-2.410722043164898594e+02,1.144239571352689069e+02,-2.407317301209944844e+02
3.766111111111111194e+07,1.074787284771381479e+02,-2.349957565523421010e+02,1.074762674956291306e+02,-2.351424408791308736e+02,1.074762264210263396e+02,-2.351688537377957005e+02,1.074748033711272797e+02,-2.350334083378343735e+02,1.074731125283691000e+02,-2.352096569250414859e+02,1.074754220454483118e+02,-2.351029954139831375e+02,1.067037211937044958e+02,-2.344857464320073461e+02,1.067061052397561127e+02,-2.342876437257725968e+02,1.067059826793283577e+02,-2.343845366421640222e+02,1.066998827666973426e+02,-2.344696105791572904e+02,1.067017580263881342e+02,-2.345244337518786040e+02,1.067023917106765083e+02,-2.345218966281108237e+02,1.079285499256660046e+02,-2.355817635013388269e+02,1.079273360732693021e+02,-2.354569785578170524e+02,1.079310573211523803e+02,-2.353568996248020539e+02,1.079254087818277696e+02,-2.355668076579773640e+02,1.079273470285649523e+02,-2.355729262114760729e+02,1.079286408440077309e+02,-2.356074007576835072e+02,1.064744511711522108e+02,-2.341648354017360134e+02,1.064710641069134027e+02,-2.342556339853253178e+02,1.064718732807959469e+02,-2.342906704012370653e+02,1.064771340728981954e+02,-2.341112513877671120e+02,1.064726445553097136e+02,-2.343508817379816662e+02,1.064739672635766254e+02,-2.342538648785165947e+02,1.079485620688908796e+02,-2.356019050476878931e+02,1.079494490194949492e+02,-2.355720877272744644e+02,1.079507291345447015e+02,-2.355502529222665657e+02,1.079485772004100994e+02,-2.356010234772857643e+02,1.079515354411950483e+02,-2.352582584965235810e+02,1.079512015027120100e+02,-2.356094869651277293e+02,1.090164161487814312e+02,-2.364475423134281300e+02,1.090171693572736586e+02,-2.365190500920797092e+02,1.090153890581418636e+02,-2.365372961691027456e+02,1.090170821486385506e+02,-2.364607652873790755e+02,1.090174172175132554e+02,-2.365629138413285943e+02,1.090185181205885812e+02,-2.362120070207018614e+02
3.875555555555555224e+07,1.024799281878884045e+02,-2.305712159651001514e+02,1.024775405983455414e+02,-2.307223057440883451e+02,1.024775500676950486e+02,-2.307496053811676688e+02,1.024761982550213872e+02,-2.306103928557036795e+02,1.024745963585753117e+02,-2.307918798618459562e+02,1.024768571514966027e+02,-2.306820929349282778e+02,1.017337612016248016e+02,-2.300617515731976255e+02,1.017360309780542593e+02,-2.298576163952374429e+02,1.017359583810190742e+02,-2.299574129675709457e+02,1.017299801020227790e+02,-2.300453433572894824e+02,1.017319115574078552e+02,-2.301018108437656338e+02,1.017324947289488080e+02,-2.300990641343274206e+02,1.029128969087248464e+02,-2.311636539842828313e+02,1.029117089370033113e+02,-2.310352540068385281e+02,1.029152896045122816e+02,-2.309319678158798581e+02,1.029098987513762324e+02,-2.311486193306181178e+02,1.029117793530723617e+02,-2.311547556147645821e+02,1.029131749148676391e+02,-2.311904037394295415e+02,1.015131750641989470e+02,-2.297368633031167064e+02,1.015099448070803021e+02,-2.298306157803296799e+02,1.015107252428382907e+02,-2.298666105524736452e+02,1.015157291030260751e+02,-2.296814146664510758e+02,1.015114068926126549e+02,-2.299283878999747230e+02,1.015127522227978289e+02,-2.298285802640429267e+02,1.029323402503280107e+02,-2.311868646726706231e+02,1.029332223114769818e+02,-2.311561780342620978e+02,1.029344962249458462e+02,-2.311336929403374256e+02,1.029324131650778185e+02,-2.311861780734977856e+02,1.029351481758578615e+02,-2.308328747635899845e+02,1.029349786314541859e+02,-2.311946728412256959e+02,1.039603696700588671e+02,-2.320331351898569494e+02,1.039611639670046372e+02,-2.321067859121461083e+02,1.039594202787562551e+02,-2.321256336519130912e+02,1.039610088696599348e+02,-2.320465479474056849e+02,1.039614195325096517e+02,-2.321519304286067040e+02,1.039624069350930426e+02,-2.317905918308132414e+02
3.985000000000000000e+07,9.780089507744347088e+01,-2.262513159170714800e+02,9.779858128136893924e+01,-2.264068085277338298e+02,9.779863195794693809e+01,-2.264349958548271786e+02,9.779734834408451150e+01,-2.262920138215973225e+02,9.779583363791752504e+01,-2.264787409977916752e+02,9.779804396477803152e+01,-2.263658261317127369e+02,9.708235905915640274e+01,-2.257437389270648112e+02,9.708452329282307858e+01,-2.255335747050601185e+02,9.708449506057601752e+01,-2.256362756429938656e+02,9.707864083787430332e+01,-2.257270473355543743e+02,9.708060970316067539e+01,-2.257851705161054952e+02,9.708116296790146293e+01,-2.257822100473158287e+02,9.821774278178673967e+01,-2.268494685800594084e+02,9.821657913383781136e+01,-2.267174558627970100e+02,9.822002973863162367e+01,-2.266109639648609289e+02,9.821488458032683866e+01,-2.268343454946089537e+02,9.821670574588897296e+01,-2.268405069796154123e+02,9.821818940554784660e+01,-2.268773325635935407e+02,9.687008705924255025e+01,-2.254152481520816593e+02,9.686700346204285950e+01,-2.255119535122415471e+02,9.686775574905715303e+01,-2.255489076794110304e+02,9.687251979450331874e+01,-2.253579393233423502e+02,9.686835323919314078e+01,-2.256122519828465158e+02,9.686972007041654820e+01,-2.255096537149702840e+02,9.823660639616430501e+01,-2.268756094784675952e+02,9.823747882477320559e+01,-2.268440548755485509e+02,9.823874671379265067e+01,-2.268209197997827005e+02,9.823671622401651859e+01,-2.268751157078689005e+02,9.823925447217467877e+01,-2.265112806363237610e+02,9.823924223026988045e+01,-2.268836440106556154e+02,9.922649741221884767e+01,-2.277207619811472341e+02,9.922732326676046455e+01,-2.277965590432803253e+02,9.922561729482106330e+01,-2.278160071562348605e+02,9.922712373713649470e+01,-2.277343711023269179e+02,9.922758697576169595e+01,-2.278429851033161810e+02,9.922846776129979673e+01,-2.274712157132007633e+02
