net,de,para,x_mm,y_mm,power
BMS_RST,VSYS,+3.3VCC,38.35,13.71,False
BMS_RST,GND,VSYS,38.11,8.76,False
BMS_RST,GND,+3.3VCC,9.73,9.44,False
CLKSIM,+3.3VCC,MODEM_VCC,29.72,53.59,False
DATSIM,+3.3VCC,MODEM_VCC,28.53,53.89,False
I2C_SCL,+3.3VCC,MODEM_VCC,30.77,53.93,False
I2C_SCL,GND,+3.3VCC,35.50,10.34,False
I2C_SCL,+3.3VCC,GND,47.47,46.51,False
I2C_SCL,+3.3VCC,MODEM_VCC,26.78,54.02,False
I2C_SDA,+3.3VCC,MODEM_VCC,31.50,54.34,False
I2C_SDA,+3.3VCC,MODEM_VCC,27.38,53.98,False
INT_ACCEL1,+3.3VCC,MODEM_VCC,24.00,53.95,False
LTE_RX,+3.3VCC,MODEM_VCC,5.65,53.88,False
LTE_TX,+3.3VCC,MODEM_VCC,6.16,54.03,False
RESET,GND,+3.3VCC,11.34,77.22,False
RESET,+3.3VCC,MODEM_VCC,11.34,72.30,False
RESET,MODEM_VCC,+3.3VCC,11.34,55.10,False
RSTSIM,+3.3VCC,MODEM_VCC,29.49,53.77,False
SWD_CLK,+3.3VCC,MODEM_VCC,12.74,54.81,False
SWD_CLK,MODEM_VCC,+3.3VCC,12.74,72.37,False
SWD_CLK,+3.3VCC,GND,12.74,77.38,False
SWD_IO,+3.3VCC,MODEM_VCC,13.35,53.52,False
SWD_IO,MODEM_VCC,+3.3VCC,13.35,71.12,False
SWD_IO,+3.3VCC,GND,13.35,76.99,False
TEMP_EXT2,+3.3VCC,MODEM_VCC,14.09,54.28,False
TEMP_EXT3,+3.3VCC,MODEM_VCC,14.60,53.65,False
TEMP_EXT3,MODEM_VCC,+3.3VCC,14.60,71.54,False
UART1_RXD,+3.3VCC,GND,33.20,76.70,False
UART1_TXD,+3.3VCC,GND,32.72,75.18,False
WAKEUP_LTE,+3.3VCC,MODEM_VCC,10.16,54.18,False
MODEM_VCC,MODEM_VCC,+3.3VCC,31.77,57.37,True
VSIM,+3.3VCC,MODEM_VCC,27.87,54.17,True
