t_s,y1,u1
0.0,2.322,92.842
0.005,2.398,93.057
0.01,2.476,93.262
0.015,2.558,93.496
0.02,2.628,93.691
0.025,2.704,93.877
0.03,2.771,94.092
0.035,2.824,94.238
0.04,2.894,94.395
0.045,2.954,94.619
0.05,3.017,94.736
0.055,3.076,94.883
0.06,3.137,95.049
0.065,3.19,95.156
0.07,3.245,95.361
0.075,3.297,95.479
0.08,3.344,95.557
0.085,3.381,95.703
0.09,3.437,95.85
0.095,3.477,95.986
0.1,3.527,96.084
0.105,3.566,96.221
0.11,3.607,96.318
0.115,3.648,96.445
0.12,3.685,96.494
0.125,3.713,96.611
0.13,3.76,96.689
0.135,3.791,96.826
0.14,3.832,96.895
0.145,3.859,97.002
0.15,3.896,97.07
0.155,3.927,97.207
0.16,3.958,97.217
0.165,3.981,97.334
0.17,4.014,97.383
0.175,4.043,97.48
0.18,4.07,97.5
0.185,4.094,97.617
0.19,4.123,97.666
0.195,4.142,97.783
0.2,4.173,97.803
0.205,4.189,97.852
0.21,4.212,97.93
0.215,4.233,97.988
0.22,4.259,98.008
0.225,4.274,98.086
0.23,4.299,98.164
0.235,4.312,98.203
0.24,4.34,98.223
0.245,4.349,98.311
0.25,4.368,98.35
0.255,4.387,98.359
0.26,4.406,98.428
0.265,4.419,98.457
0.27,4.442,98.506
0.275,4.449,98.555
0.28,4.473,98.574
0.285,4.478,98.613
0.291,4.501,98.682
0.295,4.509,98.672
0.3,4.521,98.74
0.305,4.536,98.74
0.31,4.544,98.77
0.315,4.56,98.789
0.32,4.568,98.848
0.325,4.582,98.906
0.33,4.594,98.955
0.335,4.609,98.936
0.34,4.606,98.975
0.345,4.631,98.994
0.35,4.629,99.014
0.355,4.649,99.043
0.36,4.648,99.092
0.365,4.671,99.092
0.37,4.668,99.111
0.376,4.685,99.102
0.38,4.687,99.16
0.385,4.707,99.16
0.39,4.698,99.219
0.395,4.719,99.18
0.4,4.715,99.238
0.405,4.731,99.268
0.41,4.728,99.268
0.415,4.744,99.287
0.42,4.745,99.336
0.425,4.759,99.316
0.43,4.755,99.355
0.435,4.77,99.355
0.44,4.769,99.414
0.445,4.781,99.375
0.45,4.778,99.404
0.455,4.793,99.424
0.461,4.795,99.473
0.465,4.801,99.482
0.47,4.806,99.473
0.475,4.812,99.463
0.48,4.816,99.492
0.485,4.821,99.492
0.49,4.824,99.521
0.495,4.833,99.531
0.5,4.831,99.531
0.505,4.833,99.57
0.51,4.842,99.541
0.515,4.841,99.551
0.52,4.855,99.551
0.525,4.854,99.58
0.53,4.858,99.561
0.535,4.864,99.619
0.54,4.866,99.619
0.545,4.871,99.619
0.55,4.875,99.629
0.555,4.87,99.688
0.56,4.883,99.639
0.565,4.878,99.688
0.57,4.888,99.658
0.575,4.889,99.678
0.58,4.89,99.707
0.585,4.893,99.678
0.59,4.899,73.428
0.595,4.874,99.609
0.6,4.876,99.619
0.605,4.872,99.658
0.61,4.883,99.668
0.615,4.877,99.639
0.62,4.888,99.658
0.625,4.882,99.707
0.63,4.895,99.678
0.635,4.89,99.668
0.64,4.894,99.697
0.645,4.891,99.697
0.65,4.9,99.727
0.655,4.891,99.697
0.66,4.9,90.947
0.665,4.887,99.658
0.67,4.901,90.967
0.675,4.893,99.668
0.68,4.893,99.707
0.685,4.894,99.707
0.69,4.906,99.658
0.695,4.889,99.697
0.7,4.898,99.707
0.705,4.891,99.688
0.71,4.901,99.707
0.715,4.891,99.707
0.72,4.892,99.736
0.725,4.901,99.707
0.73,4.895,99.678
0.735,4.898,99.697
0.74,4.895,99.736
0.745,4.896,99.668
0.75,4.898,91.006
0.755,4.895,99.727
0.76,4.893,99.707
0.765,4.902,99.717
0.77,4.888,99.717
0.775,4.9,90.938
0.78,4.887,99.707
0.785,4.903,90.879
0.79,4.885,99.678
0.795,4.894,90.928
0.8,4.889,99.697
0.805,4.901,99.668
0.81,4.891,99.697
0.815,4.896,20.986
0.82,4.86,99.609
0.825,4.872,99.58
0.83,4.867,99.648
0.835,4.879,99.668
0.84,4.874,99.688
0.845,4.881,99.648
0.85,4.884,99.629
0.855,4.889,99.688
0.86,4.888,99.707
0.865,4.896,99.678
0.87,4.891,99.688
0.875,4.902,99.707
0.88,4.893,99.668
0.885,4.9,99.697
0.89,4.9,99.688
0.895,4.89,99.697
0.9,4.901,99.688
0.905,4.893,99.688
0.91,4.896,99.688
0.915,4.896,99.727
0.92,4.897,99.697
0.925,4.898,90.977
0.931,4.894,99.688
0.935,4.889,99.727
0.94,4.902,99.717
0.945,4.89,99.648
0.95,4.902,90.947
0.955,4.889,99.707
0.96,4.895,99.668
0.965,4.892,99.736
0.97,4.899,99.678
0.975,4.894,90.947
