k,t_real_s,y1,u1_aplicado,dy1,du1_aplicado
0,0.002,2.477,67.09,0.0,17.090000000000003
1,0.005,2.454,93.203,-0.022999999999999687,43.203
2,0.01,2.516,23.506,0.039000000000000146,-26.494
3,0.015,2.501,5.967,0.02400000000000002,-44.033
4,0.02,2.422,93.145,-0.054999999999999716,43.144999999999996
5,0.025,2.504,93.33,0.027000000000000135,43.33
6,0.03,2.578,6.182,0.10099999999999998,-43.818
7,0.035,2.593,93.604,0.1160000000000001,43.604
8,0.04,2.667,76.27,0.18999999999999995,26.269999999999996
9,0.045,2.71,93.896,0.2330000000000001,43.896
10,0.05,2.764,6.631,0.2869999999999999,-43.369
11,0.055,2.677,93.818,0.20000000000000018,43.818
12,0.06,2.745,41.523,0.26800000000000024,-8.476999999999997
13,0.065,2.711,50.635,0.23399999999999999,0.634999999999998
14,0.07,2.647,6.348,0.16999999999999993,-43.652
15,0.075,2.583,6.201,0.10600000000000032,-43.799
16,0.08,2.503,5.977,0.026000000000000245,-44.022999999999996
17,0.085,2.424,31.963,-0.052999999999999936,-18.037
18,0.09,2.403,5.762,-0.07399999999999984,-44.238
19,0.095,2.335,92.891,-0.1419999999999999,42.891000000000005
20,0.1,2.417,49.453,-0.06000000000000005,-0.546999999999997
21,0.105,2.436,66.865,-0.040999999999999925,16.864999999999995
22,0.11,2.465,75.801,-0.01200000000000001,25.801000000000002
23,0.115,2.486,5.938,0.009000000000000341,-44.062
24,0.12,2.413,84.355,-0.06400000000000006,34.355000000000004
25,0.125,2.474,5.938,-0.0029999999999996696,-44.062
26,0.13,2.398,93.047,-0.07899999999999974,43.047
27,0.135,2.479,75.811,0.002000000000000224,25.811000000000007
28,0.14,2.446,93.174,-0.030999999999999694,43.17400000000001
29,0.145,2.522,93.369,0.04499999999999993,43.369
30,0.15,2.598,32.383,0.121,-17.616999999999997
31,0.155,2.603,67.422,0.12600000000000033,17.421999999999997
32,0.16,2.61,58.662,0.133,8.661999999999999
33,0.165,2.672,93.809,0.19500000000000028,43.809
34,0.17,2.746,93.975,0.26900000000000013,43.974999999999994
35,0.175,2.814,94.209,0.3370000000000002,44.209
36,0.18,2.786,6.66,0.30900000000000016,-43.34
37,0.185,2.695,15.195,0.21799999999999997,-34.805
38,0.19,2.628,23.75,0.15100000000000025,-26.25
39,0.195,2.675,93.799,0.19799999999999995,43.79900000000001
40,0.2,2.705,6.523,0.2280000000000002,-43.477000000000004
41,0.205,2.638,32.549,0.16100000000000003,-17.451
42,0.21,2.61,6.23,0.133,-43.769999999999996
43,0.215,2.518,6.006,0.040999999999999925,-43.994
44,0.22,2.509,93.34,0.03200000000000003,43.34
45,0.225,2.577,93.525,0.10000000000000009,43.525000000000006
46,0.23,2.655,93.74,0.17799999999999994,43.739999999999995
47,0.235,2.725,93.936,0.24800000000000022,43.93600000000001
48,0.24,2.799,76.611,0.32200000000000006,26.611000000000004
49,0.245,2.79,94.092,0.31300000000000017,44.092
